Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,837,834,1.671
002 Andrian,,531,513,1.044
003 Altrei,,195,187,382
004 Eppan a.d. Weinstr.,,7.218,7.401,14.619
005 Hafling,,378,381,759
006 Abtei,,1.690,1.736,3.426
007 Barbian,,842,811,1.653
008 Bozen,,50.412,55.160,105.572
009 Prags,,333,323,656
010 Brenner,,1.099,1.036,2.135
011 Brixen,,10.262,10.977,21.239
012 Branzoll,,1.316,1.368,2.684
013 Bruneck,,7.812,8.026,15.838
014 Kuens,,196,209,405
015 Kaltern a.d. Weinstr.,,3.748,4.028,7.776
016 Freienfeld,,1.377,1.293,2.670
017 Sand in Taufers,,2.637,2.704,5.341
018 Kastelbell-Tschars,,1.222,1.162,2.384
019 Kastelruth,,3.326,3.307,6.633
020 Tscherms,,709,744,1.453
021 Kiens,,1.398,1.373,2.771
022 Klausen,,2.611,2.568,5.179
023 Karneid,,1.714,1.626,3.340
024 Kurtatsch a.d.Weinstr.,,1.118,1.120,2.238
025 Kurtinig a.d. Weinstr.,,321,328,649
026 Corvara,,676,676,1.352
027 Graun im Vinschgau,,1.244,1.181,2.425
028 Toblach,,1.699,1.699,3.398
029 Neumarkt,,2.508,2.629,5.137
030 Pfalzen,,1.394,1.363,2.757
031 Völs am Schlern,,1.747,1.776,3.523
032 Franzensfeste,,492,481,973
033 Villnöss,,1.290,1.319,2.609
034 Gais,,1.621,1.578,3.199
035 Gargazon,,823,867,1.690
036 Glurns,,468,429,897
037 Latsch,,2.574,2.581,5.155
038 Algund,,2.400,2.613,5.013
039 Lajen,,1.331,1.328,2.659
040 Leifers,,8.769,8.856,17.625
041 Lana,,5.585,5.959,11.544
042 Laas,,1.995,1.985,3.980
043 Laurein,,185,155,340
044 Lüsen,,754,765,1.519
045 Margreid a.d. Weinstr.,,634,655,1.289
046 Mals,,2.628,2.520,5.148
047 Enneberg,,1.514,1.462,2.976
048 Marling,,1.300,1.288,2.588
049 Martell,,486,395,881
050 Mölten,,866,804,1.670
051 Meran,,18.694,20.347,39.041
052 Welsberg-Taisten,,1.404,1.449,2.853
053 Montan,,814,814,1.628
054 Moos in Passeier,,1.129,1.000,2.129
055 Nals,,913,960,1.873
056 Naturns,,2.910,2.802,5.712
057 Natz-Schabs,,1.493,1.476,2.969
058 Welschnofen,,987,954,1.941
059 Deutschnofen,,1.989,1.942,3.931
060 Auer,,1.741,1.829,3.570
061 St.Ulrich,,2.311,2.410,4.721
062 Partschins,,1.783,1.833,3.616
063 Percha,,756,738,1.494
064 Plaus,,378,333,711
065 Waidbruck,,109,96,205
066 Burgstall,,893,949,1.842
067 Prad am Stilfser Joch,,1.705,1.660,3.365
068 Prettau,,301,284,585
069 Proveis,,154,113,267
070 Ratschings,,2.278,2.138,4.416
071 Rasen-Antholz,,1.451,1.407,2.858
072 Ritten,,3.844,3.862,7.706
073 Riffian,,673,686,1.359
074 Mühlbach,,1.546,1.490,3.036
075 Rodeneck,,603,575,1.178
076 Salurn,,1.825,1.850,3.675
077 Innichen,,1.618,1.668,3.286
079 Jenesien,,1.521,1.495,3.016
080 St.Leonhard in Pass.,,1.818,1.755,3.573
081 St.Lorenzen,,1.927,1.887,3.814
082 St.Martin in Thurn,,865,838,1.703
083 St.Martin in Passeier,,1.611,1.590,3.201
084 St.Pankraz,,815,749,1.564
085 St.Christina in Gröden,,965,963,1.928
086 Sarntal,,3.524,3.436,6.960
087 Schenna,,1.433,1.444,2.877
088 Mühlwald,,773,686,1.459
089 Wolkenstein in Gröden,,1.326,1.336,2.662
091 Schnals,,671,623,1.294
092 Sexten,,941,971,1.912
093 Schlanders,,2.917,3.052,5.969
094 Schluderns,,903,894,1.797
095 Stilfs,,609,563,1.172
096 Terenten,,887,848,1.735
097 Terlan,,2.110,2.157,4.267
098 Tramin a.d. Weinstr.,,1.613,1.661,3.274
099 Tisens,,918,955,1.873
100 Tiers,,475,485,960
101 Tirol,,1.231,1.233,2.464
102 Truden im Naturpark,,504,546,1.050
103 Taufers im Münstertal,,475,487,962
104 Ulten,,1.456,1.424,2.880
105 Pfatten,,520,513,1.033
106 Olang,,1.558,1.539,3.097
107 Pfitsch,,1.443,1.433,2.876
108 Ahrntal,,3.012,2.937,5.949
109 Gsies,,1.159,1.134,2.293
110 Vintl,,1.651,1.635,3.286
111 Vahrn,,2.166,2.246,4.412
112 Vöran,,513,434,947
113 Niederdorf,,749,775,1.524
114 Villanders,,968,906,1.874
115 Sterzing,,3.390,3.323,6.713
116 Feldthurns,,1.405,1.359,2.764
117 Wengen,,691,635,1.326
118 U.L.Frau i.W.-St.Felix,,398,374,772
