Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,13,6,19
001 Aldein,1,,9,12,21
001 Aldein,2,,14,4,18
001 Aldein,3,,2,10,12
001 Aldein,4,,9,3,12
001 Aldein,5,,11,10,21
001 Aldein,6,,7,9,16
001 Aldein,7,,6,11,17
001 Aldein,8,,8,13,21
001 Aldein,9,,8,14,22
001 Aldein,10,,10,8,18
001 Aldein,11,,17,8,25
001 Aldein,12,,17,10,27
001 Aldein,13,,14,7,21
001 Aldein,14,,17,8,25
001 Aldein,15,,13,4,17
001 Aldein,16,,16,15,31
001 Aldein,17,,12,18,30
001 Aldein,18,,16,8,24
001 Aldein,19,,8,7,15
001 Aldein,20,,10,13,23
001 Aldein,21,,14,7,21
001 Aldein,22,,14,10,24
001 Aldein,23,,8,12,20
001 Aldein,24,,5,6,11
001 Aldein,25,,8,6,14
001 Aldein,26,,12,12,24
001 Aldein,27,,10,6,16
001 Aldein,28,,11,5,16
001 Aldein,29,,9,3,12
001 Aldein,30,,15,12,27
001 Aldein,31,,7,7,14
001 Aldein,32,,7,9,16
001 Aldein,33,,11,7,18
001 Aldein,34,,10,13,23
001 Aldein,35,,8,12,20
001 Aldein,36,,11,14,25
001 Aldein,37,,11,8,19
001 Aldein,38,,8,20,28
001 Aldein,39,,7,14,21
001 Aldein,40,,16,11,27
001 Aldein,41,,14,12,26
001 Aldein,42,,13,10,23
001 Aldein,43,,17,7,24
001 Aldein,44,,16,15,31
001 Aldein,45,,14,15,29
001 Aldein,46,,17,8,25
001 Aldein,47,,12,16,28
001 Aldein,48,,6,14,20
001 Aldein,49,,7,20,27
001 Aldein,50,,16,10,26
001 Aldein,51,,16,10,26
001 Aldein,52,,13,6,19
001 Aldein,53,,9,16,25
001 Aldein,54,,17,14,31
001 Aldein,55,,14,9,23
001 Aldein,56,,10,12,22
001 Aldein,57,,7,4,11
001 Aldein,58,,10,10,20
001 Aldein,59,,9,8,17
001 Aldein,60,,9,9,18
001 Aldein,61,,9,7,16
001 Aldein,62,,9,9,18
001 Aldein,63,,7,4,11
001 Aldein,64,,14,10,24
001 Aldein,65,,5,13,18
001 Aldein,66,,9,6,15
001 Aldein,67,,9,9,18
001 Aldein,68,,5,11,16
001 Aldein,69,,6,10,16
001 Aldein,70,,6,5,11
001 Aldein,71,,5,6,11
001 Aldein,72,,8,9,17
001 Aldein,73,,6,10,16
001 Aldein,74,,5,12,17
001 Aldein,75,,4,8,12
001 Aldein,76,,4,9,13
