Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.641,28,4,15,6,3,0,0
002 Andrian,876,32,19,10,2,0,1,0
003 Altrei,381,13,4,7,2,0,0,0
004 Eppan a.d. Weinstr.,12.560,697,351,179,69,69,29,0
005 Hafling,683,28,13,10,0,5,0,0
006 Abtei,3.113,66,26,15,8,11,6,0
007 Barbian,1.503,49,24,4,8,10,3,0
008 Bozen,91.055,7.914,1.540,2.830,1.682,1.234,621,7
009 Prags,640,7,5,0,0,2,0,0
010 Brenner,1.878,166,51,33,8,73,1,0
011 Brixen,18.144,1.266,434,501,84,215,32,0
012 Branzoll,2.277,149,21,59,45,14,10,0
013 Bruneck,13.390,801,236,392,27,135,11,0
014 Kuens,343,1,1,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.866,407,202,97,43,50,15,0
016 Freienfeld,2.490,79,32,22,1,24,0,0
017 Sand in Taufers,4.885,115,51,33,7,17,7,0
018 Kastelbell-Tschars,2.255,67,38,19,1,8,1,0
019 Kastelruth,6.022,201,75,45,15,55,11,0
020 Tscherms,1.280,50,40,7,0,0,3,0
021 Kiens,2.620,58,17,20,11,9,1,0
022 Klausen,4.700,219,78,47,3,68,23,0
023 Karneid,3.090,149,37,51,28,22,11,0
024 Kurtatsch a.d.Weinstr.,2.079,95,61,16,4,14,0,0
025 Kurtinig a.d. Weinstr.,597,19,2,14,3,0,0,0
026 Corvara,1.240,13,4,5,0,2,1,1
027 Graun im Vinschgau,2.324,75,59,3,5,8,0,0
028 Toblach,3.136,128,43,61,2,19,3,0
029 Neumarkt,4.329,282,80,120,43,14,25,0
030 Pfalzen,2.351,42,26,5,0,11,0,0
031 Völs am Schlern,2.997,149,57,33,31,23,5,0
032 Franzensfeste,807,124,23,32,23,41,5,0
033 Villnöss,2.402,36,17,3,4,12,0,0
034 Gais,3.005,50,31,11,0,5,3,0
035 Gargazon,1.442,45,17,13,11,0,4,0
036 Glurns,860,18,10,3,5,0,0,0
037 Latsch,4.727,310,93,155,25,37,0,0
038 Algund,4.080,168,68,58,22,14,5,1
039 Lajen,2.363,73,22,13,20,15,3,0
040 Leifers,14.963,861,131,310,245,106,69,0
041 Lana,9.849,563,262,212,44,34,11,0
042 Laas,3.664,118,43,47,11,9,8,0
043 Laurein,366,0,0,0,0,0,0,0
044 Lüsen,1.452,22,19,0,3,0,0,0
045 Margreid a.d. Weinstr.,1.128,63,26,22,8,4,3,0
046 Mals,4.778,169,98,34,29,7,1,0
047 Enneberg,2.723,70,21,45,0,4,0,0
048 Marling,2.222,62,39,10,4,7,2,0
049 Martell,876,6,6,0,0,0,0,0
050 Mölten,1.480,26,14,11,1,0,0,0
051 Meran,31.899,3.437,982,1.408,505,443,96,3
052 Welsberg-Taisten,2.572,87,24,28,2,33,0,0
053 Montan,1.483,85,22,8,35,11,9,0
054 Moos in Passeier,2.158,12,11,1,0,0,0,0
055 Nals,1.613,32,21,0,2,7,2,0
056 Naturns,4.970,200,101,57,14,24,3,1
057 Natz-Schabs,2.480,160,75,46,10,27,2,0
058 Welschnofen,1.724,145,40,70,6,24,5,0
059 Deutschnofen,3.561,140,44,68,10,16,2,0
060 Auer,3.171,205,58,67,36,38,6,0
061 St.Ulrich,4.415,169,51,66,5,12,35,0
062 Partschins,3.224,92,50,31,6,2,3,0
063 Percha,1.351,30,10,17,2,0,1,0
064 Plaus,572,28,4,16,8,0,0,0
065 Waidbruck,169,23,0,8,15,0,0,0
066 Burgstall,1.538,65,39,13,1,10,2,0
067 Prad am Stilfser Joch,3.120,161,63,46,37,13,2,0
068 Prettau,601,4,4,0,0,0,0,0
069 Proveis,273,3,3,0,0,0,0,0
070 Ratschings,4.096,63,40,12,1,10,0,0
071 Rasen-Antholz,2.752,35,28,5,0,2,0,0
072 Ritten,6.825,291,115,133,14,21,8,0
073 Riffian,1.182,19,11,4,2,2,0,0
074 Mühlbach,2.538,170,38,64,23,45,0,0
075 Rodeneck,1.146,12,6,4,0,1,1,0
076 Salurn,2.817,461,88,159,111,86,17,0
077 Innichen,3.012,99,40,27,11,18,3,0
079 Jenesien,2.772,63,34,10,11,5,3,0
080 St.Leonhard in Pass.,3.373,36,23,8,0,5,0,0
081 St.Lorenzen,3.455,85,25,46,7,6,1,0
082 St.Martin in Thurn,1.696,18,4,1,11,0,2,0
083 St.Martin in Passeier,2.916,69,37,5,15,8,2,2
084 St.Pankraz,1.557,17,15,2,0,0,0,0
085 St.Christina in Gröden,1.746,71,13,18,18,2,20,0
086 Sarntal,6.548,124,48,33,32,4,7,0
087 Schenna,2.676,67,50,15,1,1,0,0
088 Mühlwald,1.457,12,8,4,0,0,0,0
089 Wolkenstein in Gröden,2.518,55,37,5,1,6,6,0
091 Schnals,1.364,43,20,22,1,0,0,0
092 Sexten,1.889,46,28,12,3,2,1,0
093 Schlanders,5.616,269,110,104,26,27,2,0
094 Schluderns,1.797,43,25,6,12,0,0,0
095 Stilfs,1.215,53,35,13,3,2,0,0
096 Terenten,1.628,35,20,14,1,0,0,0
097 Terlan,3.615,226,105,68,20,29,4,0
098 Tramin a.d. Weinstr.,3.058,131,57,34,14,22,4,0
099 Tisens,1.772,41,27,9,0,5,0,0
100 Tiers,900,36,10,20,1,5,0,0
101 Tirol,2.293,48,38,7,0,3,0,0
102 Truden im Naturpark,890,83,8,63,0,12,0,0
103 Taufers im Münstertal,946,25,20,5,0,0,0,0
104 Ulten,2.955,20,18,0,1,0,1,0
105 Pfatten,856,53,6,14,31,0,2,0
106 Olang,2.812,109,33,55,5,16,0,0
